Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.14.25 MIA v NYK Team,403.39897029963000,12.193513761346100,Miami Heat,1,,,"+ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,,,,,,,3pt,Miss Short,7z11,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,422.19433363363000,13.60078432465830,Miami Heat,2,,-ve Cutting & Screening: Cut Fill,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Read the Length,+ve Footwork: Step to Ball,+ve Passing: Read the Length,,+ve Positioning - Create Shape,+ve QB12: Baseline,"+ve Relocate: Corner Fill, -ve Relocate: Fill Behind, +ve Relocate: Dunker- Baseline Cut",Short 2,Made,6z7,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,496.89257160595400,11.10088482105620,Miami Heat,3,,,+ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Made,7z1,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,533.1948668823040,11.798479330332500,Miami Heat,4,,"-ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Movement",-ve DM Catch: Uncontested Shot,,+ve Finishing: Earn a Foul,+ve Footwork: Step to Ball,,,,,,3pt,Fouled,7z1,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,654.7925075616250,13.601735215332700,Miami Heat,5,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Read the Length,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,,"-ve Relocate: 45 Cut, +ve Relocate: Dunker- Baseline Cut, -ve Relocate: Fill Behind",Short 2,Miss Long,6z7,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,686.2949477929350,12.099992748355200,Miami Heat,6,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Made,7z1,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,716.8951174232830,13.599783644012700,Miami Heat,7,,,+ve DM Catch: Drive a Swing/Skip Pass,"+ve Driving: Paint Touch, +ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Stride Pivot,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,,"-ve Relocate: Slide Away, -ve Relocate: Fill Behind",Short 2,Made,6z7,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,810.495128437322,15.197267809621700,Miami Heat,8,,+ve Cutting & Screening: Movement,"-ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",+ve Driving: Paint Touch,,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"-ve Relocate: Weak Corner, +ve Relocate: Reverse Direction",3pt,Miss Long,2z1,"-ve Space Read: Live Dribble, -ve Space Read: Catch, +ve Space Read: Live Dribble",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,877.5944691376770,13.196619450651200,Miami Heat,9,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill","-ve DM Catch: Swing, +ve DM Catch: Back-to-Back",+ve Driving: Paint Touch,-ve Finishing: Ball Security,-ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Reverse Direction, -ve Relocate: Fill Behind, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away",,,,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1156.594046773270,16.098156824684800,Miami Heat,10,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Slide Away, -ve Relocate: Dunker- Baseline Cut",3pt,Miss Short,8z11,"-ve Space Read: Catch, +ve Space Read: Catch, -ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
